x1,x2,x3,x4,x5,x6,x7,x8,x9,y1
0.0625,0.0468,0.0945,0.0724,0.0265,0.0072,0.0138,0.2448,0.2198,0.0625
0.045,0.0317,0.0558,0.0899,0.0214,0.0164,0.0134,0.4913,0.4865,0.0525
0.0075,0.0085,0.0126,0.0139,0.0063,0.0213,0.016,0.0286,0.0176,0.03
0.035,0.0278,0.0434,0.0532,0.0155,0.0239,0.0161,0.1661,0.0709,0.04
0.018,0.0097,0.0232,0.0159,0.0036,0.0179,0.0122,0.4199,0.4249,0.06
0.034,0.0233,0.0631,0.0654,0.0184,0.0117,0.0085,0.1936,0.0722,0.06
0.0227,0.0104,0.03195,0.0213,0.0478,0.0032,0.003,0.3548,0.3716,0.0675
0.1006,0.0875,0.1841,0.2119,0.068,0.0136,0.014,0.2078,0.1239,0.0575
0.106,0.096,0.1982,0.1701,0.0495,0.0045,0.0079,0.0872,0.0536,0.1325
0.054,0.0441,0.0871,0.0998,0.0277,0.0871,0.0042,0.0666,0.0471,0.19
